AREA,COUNTRY,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM,ELEV_SRTM_PRED,LAT,LONGITUDE,LONG_NAME,MATTVEG,MER1990_40,MER1995_40,MER2000_40,MER2005_40,NEWCOUNTRYID,POPGPW_1990_40,POPGPW_1995_40,POPGPW_2000_40,POPGPW_2005_40,PPP1990_40,PPP1995_40,PPP2000_40,PPP2005_40,PREC_NEW,PRECMAX,PRECMIN,PRECSD,PRECAVNEW80_08,PRECSDNEW80_08,QUALITY,RIG_xi0710,ROUGH,SOIL_UNIT,TEMP_NEW,TEMPAV_8008,TEMPMAX,TEMPMIN,TEMPSD,TEMPSD80_08,QUALITY_REVISION,DATE OF LAST,,,,,,,,,
6706.798,Canada,827.4255,827.4255,827.4255,539.4137,539413.7,1198882,827425.5,1197597,213.9741,213.9741,57,-70,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,545.3,75.35,29.04,16.91,551.7043103,63.96663335,0.5,0.996,0.09,2,-4.75,-5.198275897,10.65,-24.04,12.96,1.323498282,3,2/1/11,,,,,,,,,
6679.863,Canada,815.0035,815.0035,815.0035,519.6011,519601.1,1205401,815003.5,1206345,203.5621,203.5621,57,-69,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,547.4,72.87,29.53,15.44,542.0887931,69.47821652,0.5,0.992,0.05,2,-5.3,-5.580747069,10.94,-23.97,13.03,1.347466196,3,2/1/11,,,,,,,,,
6726.999,Canada,807.6426,807.6426,807.6426,506.881,506881,1215570,807642.6,1218689,196.8753,196.8753,57,-68,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,565.6,71.66,29.28,15.47,545.8112069,69.04537703,1,0.999,0.05,2,-4.8,-5.411422483,10.84,-23.31,12.7,1.34130882,3,2/1/11,,,,,,,,,
6733.733,Canada,803.3588,803.3588,803.3588,501.229,501229,1228926,803358.8,1234167,271.3645,271.3645,57,-67,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,595.3,72.95,30.9,15.63,568.3758621,68.55486674,0.5,1,0.04,2,-4.63,-5.46307469,10.21,-22.93,12.27,1.362135335,3,2/1/11,,,,,,,,,
6733.733,Canada,800.6105,800.6105,800.6105,502.8866,502886.6,1245497,800610.4,1252787,390.5718,390.5718,57,-66,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,626,74.19,32.68,15.17,599.6155172,75.03344029,0.5,1,0.06,2,-5.03,-5.371982793,9.59,-22.56,11.85,1.372519392,3,2/1/11,,,,,,,,,
5314.598,Canada,1152.351,1152.351,1152.351,922.9206,922920.6,1369648,1152351,1367197,75.51265,75.51265,58,-78,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,453.3,66.93,13.16,20.17,497.3646552,68.93650207,1,0.811,0.03,2,-6.9,-6.283692517,8.88,-25.45,12.85,1.432554136,3,2/1/11,,,,,,,,,
6553.141,Canada,1110.485,1110.485,1110.485,874.6672,874667.2,1345099,1110485,1342093,140.2581,140.2581,58,-77,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,462.9,71.67,16.65,20.35,495.6413793,63.9708134,1,1,0.02,2,-7.25,-6.815517172,8.67,-25.33,12.73,1.424637164,3,2/1/11,,,,,,,,,
6553.141,Canada,1076.528,1076.528,1076.528,832.326,832326,1331657,1076528,1328025,179.1997,179.1997,58,-76,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,471.5,74.12,18.27,20.32,489.3534414,55.15842808,1,1,0.01,2,-6.88,-6.847773,8.84,-25,12.68,1.374698883,3,2/1/11,,,,,,,,,
6553.141,Canada,1045.188,1045.188,1045.188,792.3841,792384.1,1321220,1045188,1316956,207.2416,207.2416,58,-75,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,478.7,75.82,20.05,20.06,486.2034448,49.03152276,1,1,0.02,2,-6.38,-6.837643621,8.94,-24.83,12.66,1.314477092,3,2/1/11,,,,,,,,,
6553.141,Canada,1016.673,1016.673,1016.673,755.2273,755227.3,1313863,1016673,1308964,228.6513,228.6513,58,-74,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,486.4,76.14,21.29,19.67,493.1913793,47.67240249,1,1,0.03,2,-5.48,-6.109841862,9.08,-24.59,12.64,1.282783858,3,2/1/11,,,,,,,,,
