# Column 1: Latitude
# Column 2: Longitude
# Column 3: Gamma linear coefficient
# Column 4: Gamma quadratic coefficient
# Column 5: rho
            33.0          -112.0  0.003524310470 -0.000000533354  0.081723926237
            37.0           139.0  0.005295048008 -0.000001324139  0.296804196064
            53.0            50.0  0.007336650153 -0.000001857022  0.300585655094
            37.0           138.0  0.005351097803 -0.000001344819  0.296975711527
            53.0            -1.0  0.004756318781 -0.000001389986  0.303916677150
            32.0            34.0  0.004306477512 -0.000000880147  0.457292046975
            50.0             3.0  0.004820328557 -0.000001291465  0.250632934743
            33.0           131.0  0.004286542830 -0.000000944713  0.281427713846
            49.0            10.0  0.004859009975 -0.000001211251  0.201405519160
            41.0             1.0  0.004442002208 -0.000000972891  0.265795281581
            29.0           -91.0  0.002369106939 -0.000000229939  0.118993141752
           -34.0            18.0  0.002127416565 -0.000000196913  0.133884046454
            43.0           -78.0  0.005909765745 -0.000001240637  0.172547093431
            42.0           -73.0  0.005979129132 -0.000001335633  0.198552980338
            49.0          -124.0  0.004365587397 -0.000000859268  0.240242389100
            42.0           -86.0  0.005375752771 -0.000001174178  0.165695931191
            28.0           -83.0  0.002330990859 -0.000000178315  0.149295601427
            42.0           -83.0  0.005730208297 -0.000001290206  0.146626295481
            43.0            -3.0  0.004661113353 -0.000001185148  0.336070995932
            40.0          -112.0  0.005397869720 -0.000001245511  0.187340208124
            55.0            -4.0  0.005308590758 -0.000001512898  0.581725377117
            38.0            23.0  0.005200312268 -0.000001328412  0.329638260131
            50.0             2.0  0.004884346995 -0.000001299495  0.283850125532
            21.0          -158.0  0.003570037917 -0.000000748830  0.401376080151
            25.0            55.0  0.004510433770 -0.000000932311  0.426164986874
            41.0           -84.0  0.005438931193 -0.000001202970  0.153187180045
            50.0            12.0  0.004908544157 -0.000001190958  0.205695059090
           -34.0           150.0  0.002018027458 -0.000000191400  0.299830186321
            36.0           -87.0  0.003857876616 -0.000000729367  0.215313388586
